"[0] CompanyLocationComparatorJaccard","[1] CompanyLocationCountryComparator","finalValue","id1","id2","isMatch","label"
"0.0","0.0","0.0","DBPedia_Company_8556","Location_Dbpedia_909","false","0"
"1.0","1.0","1.195","DBPedia_Company_2175","Location_Dbpedia_1012","true","1"
"0.0","0.0","0.0","DBPedia_Company_9658","Location_Dbpedia_913","false","0"
"0.0","1.0","0.195","DBPedia_Company_5544","Location_Dbpedia_1065","false","0"
"0.0","1.0","0.195","DBPedia_Company_11458","Location_Dbpedia_1591","false","0"
"0.0","0.0","0.0","DBPedia_Company_9044","Location_Dbpedia_177","false","0"
"1.0","1.0","1.195","DBPedia_Company_15725","Location_Dbpedia_513","true","1"
"0.0","0.0","0.0","DBPedia_Company_10865","Location_Dbpedia_917","false","0"
"1.0","1.0","1.195","DBPedia_Company_12052","Location_Dbpedia_1012","true","1"
"1.0","1.0","1.195","DBPedia_Company_12509","Location_Dbpedia_513","true","1"
"0.0","0.0","0.0","DBPedia_Company_15501","Location_Dbpedia_2664","false","0"
"1.0","1.0","1.195","DBPedia_Company_10117","Location_Dbpedia_1012","true","1"
"1.0","1.0","1.195","DBPedia_Company_5434","Location_Dbpedia_2482","true","1"
"1.0","1.0","1.195","DBPedia_Company_14476","Location_Dbpedia_513","true","1"
"0.0","0.0","0.0","DBPedia_Company_4988","Location_Dbpedia_2298","false","0"
"1.0","1.0","1.195","DBPedia_Company_10648","Location_Dbpedia_2482","true","1"
"0.0","0.0","0.0","DBPedia_Company_11290","Location_Dbpedia_3230","false","0"
"0.0","0.0","0.0","DBPedia_Company_6414","Location_Dbpedia_1081","false","0"
"1.0","1.0","1.195","DBPedia_Company_5473","Location_Dbpedia_1012","true","1"
"0.0","0.0","0.0","DBPedia_Company_11048","Location_Dbpedia_918","false","0"
"0.0","1.0","0.195","DBPedia_Company_4230","Location_Dbpedia_1679","false","0"
"0.0","0.0","0.0","DBPedia_Company_2720","Location_Dbpedia_196","false","0"
"1.0","1.0","1.195","DBPedia_Company_13021","Location_Dbpedia_513","true","1"
"0.0","0.0","0.0","DBPedia_Company_1431","Location_Dbpedia_890","false","0"
"0.0","0.0","0.0","DBPedia_Company_7809","Location_Dbpedia_533","false","0"
"0.0","1.0","0.195","DBPedia_Company_6811","Location_Dbpedia_1977","false","0"
"0.0","0.0","0.0","DBPedia_Company_10477","Location_Dbpedia_1721","false","0"
"1.0","1.0","1.195","DBPedia_Company_9678","Location_Dbpedia_1012","true","1"
"0.0","0.0","0.0","DBPedia_Company_2665","Location_Dbpedia_1983","false","0"
"1.0","1.0","1.195","DBPedia_Company_6766","Location_Dbpedia_1012","true","1"
"1.0","1.0","1.195","DBPedia_Company_15376","Location_Dbpedia_513","true","1"
"0.0","0.0","0.0","DBPedia_Company_3581","Location_Dbpedia_894","false","0"
"0.0","0.0","0.0","DBPedia_Company_10313","Location_Dbpedia_1068","false","0"
"0.0","1.0","0.195","DBPedia_Company_1613","Location_Dbpedia_83","false","0"
"1.0","1.0","1.195","DBPedia_Company_11011","Location_Dbpedia_1012","true","1"
"0.0","1.0","0.195","DBPedia_Company_9660","Location_Dbpedia_348","false","0"
"1.0","1.0","1.195","DBPedia_Company_11646","Location_Dbpedia_2981","true","1"
"0.0","0.0","0.0","DBPedia_Company_8976","Location_Dbpedia_1082","false","0"
"0.0","0.0","0.0","DBPedia_Company_2933","Location_Dbpedia_2622","false","0"
"0.0","1.0","0.195","DBPedia_Company_6958","Location_Dbpedia_1781","false","0"
